constellation,absmag,ci,frequency,percentage
And,-3.0,-0.1,1,0.052
And,-3.0,0.4,1,0.052
And,-3.0,1.2,1,0.052
And,-3.0,1.4,2,0.104
And,-3.0,1.6,1,0.052
And,-2.0,-0.1,9,0.469
And,-2.0,-0.0,12,0.626
And,-2.0,0.2,1,0.052
And,-2.0,0.3,1,0.052
And,-2.0,0.7,1,0.052
And,-2.0,0.9,1,0.052
And,-2.0,1.0,1,0.052
And,-2.0,1.1,1,0.052
And,-2.0,1.2,2,0.104
And,-2.0,1.3,3,0.156
And,-2.0,1.4,3,0.156
And,-2.0,1.5,5,0.261
And,-2.0,1.6,6,0.313
And,-2.0,1.8,2,0.104
And,-1.0,-0.2,1,0.052
And,-1.0,-0.1,17,0.886
And,-1.0,-0.0,23,1.199
And,-1.0,0.1,9,0.469
And,-1.0,0.3,1,0.052
And,-1.0,0.6,2,0.104
And,-1.0,0.9,4,0.209
And,-1.0,1.0,8,0.417
And,-1.0,1.1,8,0.417
And,-1.0,1.2,3,0.156
And,-1.0,1.3,5,0.261
And,-1.0,1.4,11,0.574
And,-1.0,1.5,14,0.73
And,-1.0,1.6,24,1.251
And,-1.0,1.7,11,0.574
And,-1.0,1.9,1,0.052
And,-0.0,-0.1,25,1.303
And,-0.0,-0.0,58,3.024
And,0.0,0.1,40,2.086
And,0.0,0.2,21,1.095
And,0.0,0.3,6,0.313
And,0.0,0.4,4,0.209
And,0.0,0.5,3,0.156
And,0.0,0.7,1,0.052
And,-0.0,0.8,5,0.261
And,-0.0,0.9,12,0.626
And,-0.0,1.0,36,1.877
And,0.0,1.1,24,1.251
And,-0.0,1.2,22,1.147
And,0.0,1.3,17,0.886
And,-0.0,1.4,19,0.991
And,0.0,1.5,13,0.678
And,-0.0,1.6,15,0.782
And,-0.0,1.7,5,0.261
And,0.0,1.8,1,0.052
And,1.0,-0.1,9,0.469
And,1.0,0.0,38,1.981
And,1.0,0.1,59,3.076
And,1.0,0.2,54,2.815
And,1.0,0.3,30,1.564
And,1.0,0.4,30,1.564
And,1.0,0.5,9,0.469
And,1.0,0.6,7,0.365
And,1.0,0.7,4,0.209
And,1.0,0.8,2,0.104
And,1.0,0.9,20,1.043
And,1.0,1.0,66,3.441
And,1.0,1.1,70,3.65
And,1.0,1.2,31,1.616
And,1.0,1.3,20,1.043
And,1.0,1.4,16,0.834
And,1.0,1.5,10,0.521
And,1.0,1.6,16,0.834
And,1.0,1.7,6,0.313
And,1.0,1.8,1,0.052
And,1.0,1.9,1,0.052
And,1.0,2.5,1,0.052
And,2.0,-0.2,1,0.052
And,2.0,-0.1,3,0.156
And,2.0,0.0,13,0.678
And,2.0,0.1,42,2.19
And,2.0,0.2,56,2.92
And,2.0,0.3,56,2.92
And,2.0,0.4,51,2.659
And,2.0,0.5,54,2.815
And,2.0,0.6,9,0.469
And,2.0,0.7,4,0.209
And,2.0,0.9,12,0.626
And,2.0,1.0,32,1.668
And,2.0,1.1,24,1.251
And,2.0,1.2,10,0.521
And,2.0,1.3,8,0.417
And,2.0,1.4,8,0.417
And,2.0,1.5,1,0.052
And,2.0,1.6,1,0.052
And,2.0,1.7,1,0.052
And,3.0,-0.3,1,0.052
And,3.0,-0.1,2,0.104
And,3.0,0.0,5,0.261
And,3.0,0.1,5,0.261
And,3.0,0.2,14,0.73
And,3.0,0.3,28,1.46
And,3.0,0.4,66,3.441
And,3.0,0.5,61,3.18
And,3.0,0.6,23,1.199
And,3.0,0.7,7,0.365
And,3.0,0.8,8,0.417
And,3.0,0.9,6,0.313
And,3.0,1.0,11,0.574
And,3.0,1.1,3,0.156
And,3.0,1.2,4,0.209
And,3.0,1.3,1,0.052
And,3.0,2.1,1,0.052
And,4.0,0.1,1,0.052
And,4.0,0.2,1,0.052
And,4.0,0.3,2,0.104
And,4.0,0.4,10,0.521
And,4.0,0.5,37,1.929
And,4.0,0.6,44,2.294
And,4.0,0.7,18,0.938
And,4.0,0.8,5,0.261
And,4.0,0.9,1,0.052
And,4.0,1.1,2,0.104
And,4.0,1.5,1,0.052
And,5.0,0.2,2,0.104
And,5.0,0.5,1,0.052
And,5.0,0.6,13,0.678
And,5.0,0.7,24,1.251
And,5.0,0.8,9,0.469
And,5.0,0.9,2,0.104
And,5.0,1.1,1,0.052
And,6.0,0.1,1,0.052
And,6.0,0.5,2,0.104
And,6.0,0.6,1,0.052
And,6.0,0.7,1,0.052
And,6.0,0.8,9,0.469
And,6.0,0.9,8,0.417
And,6.0,1.0,5,0.261
And,6.0,1.1,4,0.209
And,6.0,1.2,1,0.052
And,6.0,1.3,1,0.052
And,6.0,1.4,1,0.052
And,7.0,0.7,2,0.104
And,7.0,0.9,2,0.104
And,7.0,1.0,5,0.261
And,7.0,1.1,7,0.365
And,7.0,1.2,3,0.156
And,7.0,1.6,1,0.052
And,8.0,0.7,1,0.052
And,8.0,1.1,1,0.052
And,8.0,1.2,2,0.104
And,8.0,1.3,7,0.365
And,8.0,1.4,4,0.209
And,8.0,1.5,1,0.052
And,8.0,1.6,1,0.052
And,9.0,0.3,1,0.052
And,9.0,1.1,1,0.052
And,9.0,1.3,1,0.052
And,9.0,1.4,4,0.209
And,9.0,1.5,4,0.209
And,10.0,1.5,2,0.104
And,10.0,1.6,1,0.052
And,11.0,1.5,3,0.156
And,13.0,1.8,1,0.052
Ant,-4.0,0.3,1,0.163
Ant,-3.0,-0.1,1,0.163
Ant,-3.0,2.3,1,0.163
Ant,-2.0,1.1,1,0.163
Ant,-2.0,1.2,1,0.163
Ant,-2.0,1.3,1,0.163
Ant,-2.0,1.4,2,0.325
Ant,-2.0,1.5,2,0.325
Ant,-2.0,1.6,3,0.488
Ant,-2.0,3.0,1,0.163
Ant,-1.0,-0.1,3,0.488
