constellation,name,numberOfStars,ciMin,ciMean,ciStd,ciMax,absmagMin,absmagMean,absmagStd,absmagMax
All,Total,106976,-0.4,0.7,0.47,5.46,-7.22,1.94,2.11,15.45
And,Andromeda,1918,-0.28,0.654046923879,0.505271942687,2.53,-3.305,1.64287226277,1.98998031463,13.298
Ant,Antlia,615,-0.17,0.746965853659,0.479415118394,3.015,-4.03,1.83026829268,2.12440887416,10.411
Aps,Apus,626,-0.146,0.663269968051,0.52048786922,3.81,-3.043,1.60257667732,1.88567982284,10.356
Aql,Aquarius,1440,-0.141,0.689539583333,0.524573297325,2.3,-5.057,1.59724097222,2.10905901401,11.043
Aqr,Aquila,1998,-0.331,0.780121121121,0.429260010368,1.725,-3.469,2.17257907908,2.17477080414,11.805
Ara,Ara,831,-0.2,0.679046931408,0.500881688533,2.1,-4.356,1.70627196149,2.17558464265,14.011
Ari,Aries,910,-0.123,0.72173956044,0.447068477283,1.844,-2.857,2.29567032967,2.10086829435,11.172
Aur,Auriga,1692,-0.167,0.641905437352,0.500734727829,2.928,-6.047,1.67220212766,2.0101893438,12.655
Boo,Boötes,2272,-0.129,0.761477992958,0.38167015921,2.4,-3.313,2.53604269366,2.00387696707,10.683
CMa,Caelum,1135,-0.319,0.475837004405,0.578562918761,3.35,-6.633,0.90070660793,2.13094000918,11.334
CMi,Camelopardalis,402,-0.18,0.607039800995,0.515809158476,1.717,-2.621,1.22214676617,1.91827604529,12.315
CVn,Cancer,1209,-0.27,0.777096774194,0.395957147423,2.994,-2.278,2.50787593052,2.10526938984,12.452
Cae,Canes Venatici,320,-0.194,0.780903125,0.408573922308,1.673,-2.047,2.138303125,2.06136276799,7.557
Cam,Canis Major,1919,-0.34,0.698071912454,0.481994094872,2.7,-4.88,1.83948671183,2.09859203544,12.316
Cap,Canis Minor,887,-0.3,0.770032694476,0.468625809015,3.3,-3.04,2.08280608794,2.06423399417,12.626
Car,Capricornus,1906,-0.31,0.575205666317,0.516902776411,2.39,-5.504,1.29241448059,2.05204908885,11.146
Cas,Carina,1901,-0.4,0.594638085218,0.516687900613,2.835,-4.293,1.36490741715,2.05591760542,11.77
Cen,Cassiopeia,3641,-0.4,0.684563581434,0.467942943166,3.028,-4.789,1.85283356221,2.02003061338,15.447
Cep,Centaurus,1704,-0.3,0.591599178404,0.498277027398,2.7,-4.303,1.48296185446,2.11072643839,13.286
Cet,Cepheus,2799,-0.359,0.746424794569,0.378582368151,1.85,-4.044,2.60578135048,2.03619872657,14.265
Cha,Cetus,347,-0.188,0.696057636888,0.496837192172,1.81,-2.606,1.99674639769,1.88492233895,8.838
Cir,Chamaeleon,375,-0.112,0.599016,0.516597158087,1.843,-3.406,1.12339733333,1.86670733703,8.398
Cnc,Circinus,1106,-0.186,0.735724231465,0.463321919974,2.975,-2.213,1.91586889693,2.14581694252,12.641
Col,Columba,750,-0.3,0.75,0.465789680722,1.742,-3.323,1.792824,2.05644192876,9.835
Com,Coma Berenices,999,-0.333,0.725762762763,0.36308464748,1.65,-2.566,2.62125625626,1.9704022212,10.851
CrA,Corona Austrina,429,-0.163,0.651822843823,0.458647491068,1.738,-2.791,1.81903962704,1.86655768975,7.793
CrB,Corona Borealis,410,-0.127,0.822636585366,0.419384359628,1.9,-1.297,2.30072439024,2.09150075996,10.188
Crt,Corvus,532,-0.073,0.795785714286,0.434611639731,1.72,-2.91,2.24219924812,2.20930164385,11.377
Cru,Crater,305,-0.243,0.554393442623,0.502390406569,2.21,-4.202,1.3145442623,2.17180322423,8.862
Crv,Crux,341,-0.192,0.794929618768,0.416706104408,1.752,-4.656,2.18508797654,2.17750032195,11.545
Cyg,Cygnus,2682,-0.3,0.55336689038,0.552728824322,3.44,-6.932,1.00284563758,1.95804856248,10.983
Del,Delphinus,466,-0.146,0.691570815451,0.528730417535,2.79,-3.262,1.5379806867,2.11253734854,10.27
Dor,Dorado,480,-0.199,0.77054375,0.459336412396,1.694,-3.687,1.91383333333,1.96730998059,10.91
Dra,Draco,2522,-0.208,0.72869666931,0.448183972821,3.269,-4.292,1.87575654243,1.97701316388,12.107
Equ,Equuleus,152,-0.3,0.721006578947,0.485903993343,1.763,-2.445,1.90174342105,1.86360378277,8.369
Eri,Eridanus,2571,-0.4,0.739565149747,0.434850665693,1.871,-3.097,2.14252742124,2.04653985782,12.656
For,Fornax,989,-0.388,0.789580384226,0.390652158652,1.737,-2.727,2.41274014156,2.1201730132,10.848
Gem,Gemini,1280,-0.214,0.6739640625,0.513074068991,3.0,-4.116,1.518671875,2.16364193191,11.208
Gru,Grus,1129,-0.241,0.777829937998,0.379908838709,2.231,-2.653,2.59876439327,2.1080723011,11.8
Her,Hercules,3087,-0.29,0.738551992225,0.465812187797,2.4,-4.204,1.89077162293,1.98209537325,12.411
Hor,Horologium,664,-0.076,0.793405120482,0.406626630832,2.419,-2.308,2.28107078313,2.02463632078,11.315
Hya,Hydra,2810,-0.4,0.748660854093,0.474957127788,3.435,-2.687,1.97277580071,2.13345944459,13.691
Hyi,Hydrus,611,-0.127,0.793531914894,0.41426093781,1.8,-2.207,2.13717184943,1.89598593077,11.339
Ind,Indus,884,-0.099,0.79217081448,0.409725624459,2.45,-2.696,2.44203054299,2.10265510998,9.347
LMi,Lacerta,563,-0.104,0.730978685613,0.374349955819,1.701,-2.479,2.44531616341,2.0144115183,9.791
