constellation,name,ra,dec,mag,distance,absmag,ci,spect
And,hd224699,0.000335,38.859279,6.61,442.4779,-1.619,-0.019,B9
And,hd224721,0.003554,38.30405,6.53,249.3766,-0.454,0.955,G5
Phe,hr9077,0.0053,-44.290561,6.28,81.367,1.728,0.763,G3IV
Peg,hr9078,0.006638,26.918108,6.43,74.6269,2.066,0.514,F7.5IV-V
Cas,hr9079,0.008593,59.559679,6.18,136.2398,0.508,1.032,G9III-IV
Phe,hd224782,0.009533,-53.097713,6.49,59.4177,2.62,0.616,G1IV
And,hr9080,0.012119,45.253334,6.36,187.9699,-0.01,-0.047,B9p SiEu
Cep,hd224826,0.014694,66.848011,6.9,280.112,-0.337,1.446,K2
Phe,Tau Phe,0.017941,-48.809876,5.71,181.8182,-0.588,0.911,G8III
Cas,hr9083,0.022013,49.981558,6.22,199.6008,-0.281,0.97,G7II-III
Phe,hr9082,0.022255,-50.337373,5.53,166.3894,-0.576,1.615,M2III
And,hd224894,0.026012,44.675401,6.82,155.521,0.861,1.071,K0
Peg,hd224895,0.026429,28.423691,6.83,226.2443,0.057,1.197,K2III
Oct,The Oct,0.026616,-77.065724,4.78,66.5779,0.663,1.254,K2III
Cas,hr9085,0.026949,61.222801,5.58,943.3962,-4.293,0.407,F0III
Cep,hd224890,0.027597,73.611846,6.5,70.7714,2.251,0.182,Am...
Phe,hd224914,0.02823,-40.148702,6.62,208.7683,0.022,0.545,F5IV
Peg,hd224907,0.028579,24.253113,6.6,180.5054,0.318,1.153,K2III-IV
And,hr9086,0.028847,42.367144,6.25,374.5318,-1.617,-0.042,B9IIIp Mn
Psc,29    Psc,0.030402,-3.027504,5.13,139.2758,-0.589,-0.128,B7III-IV
Psc,30    Psc,0.032672,-6.014072,4.37,132.4503,-1.24,1.631,M3III
Psc,hd224945,0.03406,-2.766171,6.93,62.461,2.952,0.292,A3
Peg,Gl 914A,0.036139,27.082256,5.8,12.1699,5.374,0.69,G3V
Cet,hd224974,0.037966,-13.407437,6.9,65.2742,2.826,0.534,G0V
Cas,hd224980,0.038253,60.703168,6.77,363.6364,-1.033,1.832,M0
Scl,Zet Scl,0.038867,-29.720414,5.04,154.0832,-0.899,-0.15,B4V
Psc,31    Psc,0.040046,8.956824,6.33,122.8501,0.883,0.182,A6V
Psc,32    Psc,0.041584,8.485463,5.7,36.9004,2.865,0.315,F0V
Cet,hr9095,0.049301,-20.045882,6.25,61.1621,2.318,0.526,F6/F7V
Cet,hr9096,0.052181,-24.145145,6.46,203.666,-0.085,1.176,K1III
And,hd225068,0.052317,42.747908,6.73,162.3377,0.678,0.051,A2
Peg,hd225073,0.053698,17.552268,6.59,171.5266,0.418,1.122,K0
Cas,hr9097,0.057143,63.64052,6.24,763.3588,-3.174,0.332,B3Ia
Scl,hd225101,0.057297,-36.251193,6.96,65.6168,2.875,0.353,F2V
And,hd225124,0.061626,48.436907,6.8,137.931,1.102,0.06,A2
Cet,2    Cet,0.06233,-17.335988,4.55,83.4725,-0.058,-0.047,B9IVn
Cep,hr9099,0.064342,66.712183,6.31,265.9574,-0.814,1.629,M4
Cet,hr9101,0.072165,-16.529036,5.78,90.6618,0.993,1.084,K0III
Scl,hr9102,0.07231,-29.268822,6.38,124.8439,0.898,0.006,A1V
Cet,3    Cet,0.075033,-10.509523,4.99,641.0256,-4.044,1.619,K3Ibvar
And,hr9105,0.07683,42.09253,6.11,386.1004,-1.824,0.159,B9III
Tuc,hr9108,0.078131,-71.436891,5.59,175.4386,-0.631,-0.1,B8III
Cep,hr9104,0.078304,67.166445,5.68,92.6784,0.845,1.051,K1III
And,NN 3002,0.081573,34.659797,6.09,39.185,3.124,0.632,G2V
Cas,hd225257,0.081937,58.532166,6.61,840.3361,-3.012,0.025,B3V
Peg,hr9109,0.08222,26.648764,6.25,200.0,-0.255,1.368,K4IIIb
Peg,hd225292,0.083662,27.674784,6.47,168.0672,0.343,0.946,G8II
Psc,hr2,0.084395,-0.503035,6.32,138.8889,0.607,1.099,G9III:
Cas,hr9110,0.085039,61.31397,5.8,221.7295,-0.929,-0.067,B8MNp...
And,hd3,0.086046,45.229029,6.71,138.5042,1.003,0.068,A1Vn
And,hd17,0.086946,35.571012,6.88,97.2763,1.94,0.174,A2
Scl,hd32,0.088876,-38.857152,6.93,208.7683,0.332,0.94,G8III/IV
Psc,33    Psc,0.088928,-5.707618,4.61,39.4945,1.627,1.029,K1III
Psc,hd43,0.089511,3.606092,6.91,196.4637,0.444,1.12,G5
Cet,hd62,0.091178,-7.66542,6.97,214.5923,0.312,1.444,K5
Cas,hd71,0.094368,55.709898,6.99,247.5248,0.022,1.187,K0III
Peg,86    Peg,0.094989,13.396266,5.55,114.2857,0.26,0.901,G5III
Peg,hd100,0.099091,24.569005,6.9,287.3563,-0.392,1.564,K5
Peg,hd111,0.100149,28.276949,6.62,359.7122,-1.16,1.531,K5III
And,hd110,0.101182,40.41853,6.65,248.139,-0.323,0.912,G5
Cas,Gl 4.1A,0.104356,58.436733,5.98,21.4777,4.32,0.687,G5V
Phe,Gl 4.2A,0.105277,-49.075191,5.7,25.7136,3.649,0.519,G1IV...
And,hd145,0.105609,40.898745,6.93,119.1895,1.549,1.086,K0
Cas,10    Cas,0.10737,64.196168,5.57,265.9574,-1.554,-0.023,B9III
Peg,hd167,0.109872,28.553404,6.68,162.0746,0.631,0.986,G9III
And,Gl 5,0.110209,29.021502,6.07,13.6705,5.391,0.752,K0V
Cet,hr9,0.113911,-23.10754,6.19,39.3856,3.213,0.386,F2IV
Scl,hd213,0.114803,-38.877668,6.91,363.6364,-0.893,1.123,K0III
Cet,hr10,0.121741,-17.38699,6.2,176.0563,-0.028,0.133,A2IV/V
And,hd281,0.126439,31.669001,6.87,161.8123,0.825,1.124,G5
And,hd290,0.127202,40.147954,6.73,92.3361,1.903,0.951,G5
Tuc,hd323,0.128037,-65.932427,6.83,124.8439,1.348,1.158,K1/K2III
Psc,hr11,0.12892,-2.548679,6.43,183.4862,0.112,-0.146,B8IIIsp...
Cet,hr12,0.129693,-22.50856,5.93,78.3699,1.459,0.141,A1V
Scl,hr13,0.134303,-33.529326,5.67,94.9668,0.782,1.119,K1III
Psc,hr14,0.136693,-2.447711,6.18,279.3296,-1.051,1.366,K2III
Cet,hr16,0.138204,-8.824112,5.99,98.4252,1.024,1.034,G8III:
And,Alpheratz,0.139791,29.090432,2.07,29.7442,-0.297,-0.038,B9p
Cas,hd371,0.142462,63.20404,6.41,369.0037,-1.425,0.998,G3II
Cet,hr18,0.142638,-17.578155,6.11,578.0347,-2.7,1.664,M0/M1IIICNp
And,Gl 6,0.14471,36.627125,6.21,32.4465,3.654,0.504,F8IV
And,hd414,0.147223,40.494549,6.82,255.102,-0.214,1.568,K5
Peg,hr19,0.147814,25.462985,6.24,138.5042,0.533,0.976,K0III
Peg,hd434,0.150045,28.247543,6.47,110.8647,1.246,0.242,A4Vm
Peg,87    Peg,0.150672,18.211963,5.57,87.4126,0.862,1.043,G9III
Phe,hr23,0.15066,-54.001931,6.32,128.3697,0.778,0.738,G4IV...
